trial_id,variety_id,location,region,year,soil_type,rainfall_mm,rainfall_deficit,temperature_avg_c,heat_stress_days,soil_moisture_pct,water_holding_capacity,soil_organic_matter,ndvi,canopy_temperature_c,biomass_index,flowering_days,plant_height_cm,maturity_group,genetic_drought_score,root_depth_score,stay_green_score,yield_t_ha,drought_stress_label,drought_tolerance_score,recommended_action,moisture_stress_index,heat_risk_index,vegetation_health_index,yield_stability_score,drought_pressure_score,trait_resilience_score
TRIAL_00001,V001,North Field 1,North,2020,Loam,689.2,113.4,27.5,1,21.8,29.1,3.16,0.939,26.7,104.5,74.6,260.0,Medium,74.4,68.2,79.7,13.31,Moderate Stress,66.8428402017224,Retest under dry-site trials,0.3657793263646922,0.050505050505050504,0.9173954545454546,76.07454983634253,18.637695949037415,73.555
TRIAL_00002,V001,North Field 1,North,2020,Loam,691.3,111.3,27.3,0,26.6,29.0,3.17,0.938,28.4,103.3,72.8,260.0,Medium,74.4,68.2,79.7,13.34,Moderate Stress,64.00271274404868,Monitor,0.3007340301974448,0.013636363636363669,0.8896999999999999,76.6830693960511,15.232511878365537,73.555
TRIAL_00003,V002,North Field 1,North,2020,Loam,738.4,64.2,27.3,3,26.8,29.8,3.18,0.888,27.0,99.2,77.3,260.0,Late,56.4,50.0,57.3,11.74,Normal,60.09113505501662,Monitor,0.27462286377965817,0.096969696969697,0.8794727272727273,66.40611090622502,16.462271294327042,54.385000000000005
TRIAL_00004,V002,North Field 1,North,2020,Loam,731.5,71.1,27.1,1,26.9,29.0,3.24,0.928,26.4,100.5,75.4,260.0,Late,56.4,50.0,57.3,12.34,Moderate Stress,65.37726964878794,Retest under dry-site trials,0.276724074995852,0.032323232323232386,0.915018181818182,67.25272304553752,14.34066418289415,54.385000000000005
TRIAL_00005,V003,North Field 1,North,2020,Loam,664.2,138.4,28.0,5,22.7,28.7,3.32,0.914,26.7,91.7,75.4,257.6,Late,71.9,66.7,78.0,12.01,Moderate Stress,51.683574100113084,Monitor,0.3662233283557325,0.18434343434343436,0.9011454545454547,74.58691979652173,22.37863563459382,71.605
TRIAL_00006,V003,North Field 1,North,2020,Loam,700.6,102.0,27.2,3,23.8,28.7,3.03,0.949,27.1,100.4,77.0,260.0,Late,71.9,66.7,78.0,12.96,Moderate Stress,59.57850003439787,Monitor,0.33343819479011116,0.09242424242424238,0.9175318181818182,75.65228155874324,18.080324826161064,71.605
TRIAL_00007,V004,North Field 1,North,2020,Loam,721.3,81.3,26.8,1,22.6,28.3,3.26,0.929,26.6,105.5,71.5,260.0,Early,72.5,79.3,75.8,12.36,Moderate Stress,67.06885898797813,Retest under dry-site trials,0.33913456114152973,0.027777777777777776,0.9124863636363636,77.66721786807848,17.02049969581328,75.705
TRIAL_00008,V004,North Field 1,North,2020,Loam,705.6,97.0,26.6,1,26.3,29.2,3.12,0.932,26.8,100.4,72.3,260.0,Early,72.5,79.3,75.8,14.28,Moderate Stress,68.78523700391483,Retest under dry-site trials,0.29761606105856975,0.027777777777777776,0.9112545454545454,78.46679241519224,15.107167192080082,75.705
TRIAL_00009,V005,North Field 1,North,2020,Loam,703.9,98.7,27.0,0,28.3,29.6,3.25,0.95,26.0,102.8,72.0,260.0,Medium,75.0,69.2,81.1,12.77,Moderate Stress,69.39725462520774,Retest under dry-site trials,0.2717955865272938,0.0,0.9356818181818181,78.92838372399957,12.980801393728223,74.495
TRIAL_00010,V005,North Field 1,North,2020,Loam,709.2,93.4,26.0,2,29.2,31.0,3.26,0.941,25.2,103.5,72.6,260.0,Medium,75.0,69.2,81.1,13.26,Moderate Stress,66.76862255125732,Retest under dry-site trials,0.2571574581051933,0.05555555555555555,0.9425590909090908,79.39307811062342,13.845974503622587,74.495
TRIAL_00011,V006,North Field 1,North,2020,Loam,774.5,28.1,27.0,1,22.6,28.7,3.19,0.95,27.4,105.7,75.3,260.0,Late,70.5,66.4,79.1,12.46,Moderate Stress,70.05767251439521,Retest under dry-site trials,0.312653724904596,0.027777777777777776,0.9134090909090908,75.75040277463536,15.513862065151265,71.215
TRIAL_00012,V006,North Field 1,North,2020,Loam,826.9,0.0,26.2,3,27.2,29.0,3.11,0.95,26.4,97.0,74.3,260.0,Late,70.5,66.4,79.1,14.5,Normal,73.68176953067096,Retest under dry-site trials,0.2373333333333333,0.08333333333333333,0.9293181818181817,77.65453787878789,13.513333333333332,71.215
TRIAL_00013,V007,North Field 1,North,2020,Loam,725.2,77.4,27.2,3,26.3,30.1,3.23,0.916,26.1,104.7,74.6,260.0,Early,68.6,66.5,72.3,12.65,Moderate Stress,64.06881500938215,Monitor,0.28785996349759413,0.09242424242424238,0.9119909090909091,74.87707345732085,16.524304417997797,68.78999999999999
TRIAL_00014,V007,North Field 1,North,2020,Loam,656.7,145.9,26.6,3,24.1,30.0,3.21,0.932,25.7,99.1,71.3,256.4,Early,68.6,66.5,72.3,11.69,Moderate Stress,61.41555691795594,Monitor,0.351289862286378,0.08333333333333333,0.9287545454545454,74.02756639063608,18.91137713622034,68.78999999999999
TRIAL_00015,V008,North Field 1,North,2020,Loam,774.3,28.3,25.9,0,25.4,28.8,3.34,0.95,27.9,103.7,74.8,260.0,Late,75.3,77.9,90.3,14.02,Normal,75.152769037803,Retest under dry-site trials,0.275419943587191,0.0,0.9054545454545454,81.10596476461981,13.143897461423599,79.96000000000001
TRIAL_00016,V008,North Field 1,North,2020,Loam,691.0,111.6,27.0,5,23.5,29.2,3.37,0.95,26.5,90.7,76.2,245.7,Late,75.3,77.9,90.3,12.36,Moderate Stress,58.81140304630333,Monitor,0.3422166915546706,0.1388888888888889,0.9277272727272726,80.32684798708841,19.621973342182404,79.96000000000001
TRIAL_00017,V009,North Field 1,North,2020,Loam,753.1,49.5,25.5,1,23.7,28.2,3.46,0.95,25.8,101.2,72.3,260.0,Early,67.9,63.0,72.2,12.42,Normal,69.02161940174919,Retest under dry-site trials,0.30863912394225984,0.027777777777777776,0.9388636363636362,74.29180843024571,15.333205021846139,67.26
